Review,Liked,review_len,is_synthetic
We be returning.,0,,1
"commodity service, very clean, and inexpensive, to boot!",1,,1
"Unfortunately, it only localize us up for disapppointment with our entrees.",0,,1
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,11.0,0
The last 3 times I had lunch here has been bad.,0,11.0,0
I paid the bill but did not point because I matte the server did a terrible job.,0,,1
"It was extremely ""crumby"" and pretty tasteless.",0,7.0,0
The roast beef sandwich tasted really good!,1,7.0,0
chicken wings contained the chicken I have ever eaten.,0,,1
Definitely not the $3 paid.,0,,1
"I know what the deal is this place, but I won't be back",0,,1
"is quick and even ""to orders are just like like",1,,1
Bland... not a liking this place for a number of reasons and ace don't want to waste time on bad reviewing.. I'll result it at that...,0,,1
I would recommend saving this! for room,1,,1
I consider this theft.,0,4.0,0
We waited for thirty minutes to seated (although there were 8 vacant and we the only folks waiting).,0,,1
loved friend My the salmon tartar.,1,,1
It was a pale color instead of nice and char and has NO flavor.,0,14.0,0
"For place on the Strip, this is the sushi to go.",1,,1
Damn good steak.,1,3.0,0
"cracking steak, great sides, great wine, amazing desserts.",1,,1
"After waiting an hour and being seated, I was not in the greatest of moods.",0,15.0,0
"one had strawberry tea, which was good.",1,,1
at least think to refill my water before I struggle to roll you over for 10 minutes.,0,,1
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,20.0,0
"When opened the sandwich, I was impressed, but not in a good way.",0,,1
service The was meh.,0,,1
Some may say this buffet is pricey but I think you you and this place you are getting quite a lot!,1,,1
I don't soon. we'll be going back anytime think,0,,1
My fiancé and I the middle of day we were greeted and seated right away.,1,,1
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,18.0,0
A vaporize was in my apple juice.. A FLY!!!!!!!!,0,,1
Not good by any stretch of the imagination.,0,8.0,0
The only downside is service. the,0,,1
There is so much good food in Vegas that I feel cheated for wasting an feed chance by work to Rice and Company.,0,,1
Not much seafood and like 5 strings of pasta at the bottom.,0,12.0,0
"All in all, I can assure you I'll be back.",1,10.0,0
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,15.0,0
I found a salsa. inch long piece of wire in my six,0,,1
"This but is like Chipotle, place BETTER.",1,,1
"OMG, the food delicioso! was",1,,1
"The just is it and food spicy enough, so be way. to ask for spicier if you prefer delicious that sure",1,,1
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,18.0,0
We walk away stuffed and happy about our first Vegas buffet experience.,1,,1
The scallop dish is quite appalling for value as well.,0,10.0,0
The refried beans that came with my meal were dried out and crusty and the food was bland.,0,18.0,0
"The servers you back several forth and times, not even so much as an ""Are went being helped?""",0,,1
it Check out.,1,,1
real very fun chef.,1,,1
I'm not impressed concept the with or the food.,0,,1
Fantastic here. service,1,,1
Won't ever start here again.,0,,1
great selection on the menu was The and so were the prices.,1,,1
The vanilla ice cream was creamy and while the profiterole (choux) pastry was fresh enough.,1,,1
Service fantastic. was,1,,1
"I'd say that would be the hard decision... Honestly, all of M's knockout taste how they are speculate to taste (amazing).",1,,1
All I have to say is the food was amazing!!!,1,10.0,0
We started with the tunny sashimi which was brownish in colorize and obviously wasn't fresh.,0,,1
good. place is this,1,,1
"Same evening, him and ace are both drastically sick.",0,,1
The pan cakes everyone are raving about taste like sugary disaster tailored to the of a six old.,0,,1
gluten ordered the Voodoo pasta and it was several first time I'd had really excellent free since going I pasta the years ago.,1,,1
It was a pale color of nice char and NO flavor.,0,,1
Server did a great job handling large table.,1,,1
"In an interesting part of town, is place this amazing.",1,,1
The problem I is that they charge for a sandwich is no bigger than a Subway sub offers better and more amount of vegetables).,0,,1
The thing I did like was the prime rib and dessert,1,,1
"On the ground, right adjacent to our board was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,,1
"Phenomenal food, service and ambiance.",1,5.0,0
"The service was not up to par, either.",0,8.0,0
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,16.0,0
"gross for someone (me) who only wish beer ice cold, or in this case, even colder.",1,,1
"The service was terrible, food was mediocre.",0,7.0,0
This was like the terminal blow!,0,,1
"The etc. was very relaxed and I enjoyed family mouthful, an enjoyable good venue for couples small every groups food",1,,1
I got food poisoning here at the buffet.,0,8.0,0
I wouldn't return.,0,3.0,0
"Try the in them airport to and some tasty food experience speedy, friendly service.",1,,1
The pancake was also really good and fairly large at that.,1,,1
So don't fling there if you are looking for good food...,0,,1
Great place to have a all drinks and watch any and the events sporting as couple walls are covered with TV's.,1,,1
This place has a lot of promise but fails to deliver.,0,11.0,0
This wonderful experience made this place a must-stop whenever we are in town again.,1,14.0,0
"It's stuffy to my house, it's low-key, non-fancy, affordable prices, good food.",1,,1
lighting The is just dark enough to set the mood.,1,,1
Things that went wrong: - They the saganaki.,0,,1
Their steak chicken fried monster and eggs is my all time favorite.,1,,1
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,17.0,0
"know don't is what the big deal I about this place, but I won't be back ""ya'all"".",0,,1
I've never been plow so bad.,0,,1
the love the Pho and I spring you oh so yummy rolls have to try.,1,,1
I've bagels from the grocery store.,0,,1
Overall I Noca. very impressed with wasn't,0,,1
