Review,Liked,predicted,prob_positive
"It was attached to a gas station, and that is rarely a good sign.",0,1,0.9753487780174678
The food wasn't good.,0,1,0.9719971892403859
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,1,0.966533894594191
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,0,0.051999357039124686
"As for the ""mains,"" also uninspired.",0,1,0.9095771857920824
I've had better atmosphere.,0,1,0.8984976557963086
Must have been an off night at this place.,0,1,0.8764429396972001
Any grandmother can make a roasted chicken better than this one.,0,1,0.8602006939008209
There was a warm feeling with the service and I felt like their guest for a special treat.,1,0,0.14757439779054665
I wasn't really impressed with Strip Steak.,0,1,0.8504621996856566
Appetite instantly gone.,0,1,0.8383150278764121
I promise they won't disappoint.,1,0,0.18577521300153257
Weird vibe from owners.,0,1,0.7542665602965518
"Host staff were, for lack of a better word, BITCHES!",0,1,0.7511023739610387
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,1,0.7474346053373401
Go To Place for Gyros.,1,0,0.28606140094939175
Food arrived quickly!,1,0,0.2983269166225986
I *heart* this place.,1,0,0.3273681629395679
One of the few places in Phoenix that I would definately go back to again .,1,0,0.37215182718409995
"There is really nothing for me at postinos, hope your experience is better",0,1,0.6226034932132143
I'm super pissd.,0,1,0.6140721125724053
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,1,0.6110261691102542
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,0,0.3970509008372982
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,0,0.3980668437711891
This place deserves one star and 90% has to do with the food.,0,1,0.595737413509365
Couldn't ask for a more satisfying meal.,1,0,0.4055678814683544
2 Thumbs Up!!,1,0,0.4375063376549392
"Overall, I like there food and the service.",1,0,0.4382434378950794
The black eyed peas and sweet potatoes... UNREAL!,1,0,0.4498542401593772
So they performed.,1,0,0.47029780544788535
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,1,0.524695747174862
Will go back next trip out.,1,0,0.48589526565863617
